,Province
0,Achaia
1,Aconcagua Costa
2,Aconcagua Valley
3,Aegean
4,Agioritikos
5,Ahr
6,Alenquer
7,Alentejano
8,Alentejo
9,Alenteo
10,Algarve
11,Alsace
12,America
13,Amindeo
14,Amyndeon
15,Andalucia
16,Ankara
17,Apalta
18,Arcadia
19,Arizona
20,Armenia
21,Atalanti Valley
22,Atlantida
23,Attica
24,Australia Other
25,Austria
26,Awatere Valley
27,Baden
28,Bairrada
29,Beaujolais
30,Beira Atlantico
31,Beira Interior
32,Beiras
33,Bekaa Valley
34,Beotia
35,Black Sea Coastal
36,Bordeaux
37,Bot River
38,Brazil
39,Brda
40,Breede River Valley
41,Breedekloof
42,British Columbia
43,Bucelas
44,Buin
45,Bulgaria
46,Burgenland
47,Burgundy
48,Bío Bío Valley
49,Cachapoal Valley
50,Cahul
51,California
52,Campanha
53,Canada Other
54,Canelones
55,Canterbury
56,Cape Agulhas
57,Cape Peninsula
58,Cape South Coast
59,Cappadocia
60,Carnuntum
61,Casablanca & Leyda Valleys
62,Casablanca Valley
63,Casablanca-Curicó Valley
64,Catalonia
65,Cauquenes Valley
66,Cederberg
67,Central Greece
68,Central Italy
69,Central Otago
70,Central Spain
71,Central Valley
72,Cephalonia
73,Chalkidiki
74,Champagne
75,Chile
76,China
77,Choapa Valley
78,Coastal Region
79,Codru Region
80,Coelemu
81,Colares
82,Colchagua Costa
83,Colchagua Valley
84,Colorado
85,Commandaria
86,Connecticut
87,Constantia
88,Corinth
89,Corinthia
90,Crete
91,Croatia
92,Curicó Valley
93,Curicó and Leyda Valleys
94,Curicó and Maipo Valleys
95,Cyclades
96,Cyprus
97,Dalmatian Coast
98,Dan
99,Danube River Plains
100,Darling
101,Dealu Mare
102,Dealurile Hușilor
103,Dealurile Munteniei
104,Devon Valley
105,Dingač
106,Dolenjska
107,Douro
108,Drama
109,Durbanville
110,Duriense
111,Dão
112,East Coast
113,Eger
114,Eilandia
115,Eisenberg
116,Elazığ
117,Elazığ-Diyarbakir
118,Elgin
119,Elim
120,Ella Valley
121,Elqui Valley
122,England
123,Epanomi
124,Estremadura
125,Florina
126,France Other
127,Franken
128,Franschhoek
129,Fruška Gora
130,Galicia
131,Galil
132,Galilee
133,Georgia
134,Germany
135,Gisborne
136,Gladstone
137,Golan Heights
138,Goriska Brda
139,Goumenissa
140,Greece
141,Groenekloof
142,Guerrouane
143,Halkidiki
144,Haut-Judeé
145,Hawaii
146,Hawke's Bay
147,Helderberg
148,Hemel en Aarde
149,Hrvatsko Primorje
150,Hungary
151,Hvar
152,Ica
153,Idaho
154,Illinois
155,Imathia
156,Iowa
157,Ismarikos
158,Israel
159,Istria
160,Italy Other
161,Itata Valley
162,Jerusalem Hills
163,Jidvei
164,Jonkershoek Valley
165,Juanico
166,Judean Hills
167,Kakheti
168,Kamptal
169,Kathikas
170,Kentucky
171,Korinthia
172,Korčula
173,Krania Olympus
174,Kras
175,Kremstal
176,Krk
177,Kumeu
178,Kutjevo
179,Lakonia
180,Landwein Rhein
181,Languedoc-Roussillon
182,Lebanon
183,Leithaberg
184,Lemesos
185,Lesbos
186,Letrinon
187,Levante
188,Leyda Valley
189,Leyda Valley-Maipo Valley
190,Limarí Valley
191,Limnos
192,Lisboa
193,Loire Valley
194,Lolol Valley
195,Lombardy
196,Loncomilla Valley
197,Lontué Valley
198,Lutzville Valley
199,Macedonia
200,Madeira
201,Maipo Valley
202,Maipo Valley-Colchagua Valley
203,Malgas
204,Malleco
205,Mantinia
206,Marchigue
207,Markopoulo
208,Marlborough
209,Martinborough
210,Massachusetts
211,Maule Valley
212,Mavrodaphne de Cephalonie
213,Mavrodaphne of Patras
214,Mendoza Province
215,Messinia
216,Michigan
217,Middle and South Dalmatia
218,Minho
219,Missouri
220,Mittelburgenland
221,Mittelrhein
222,Moldova
223,Molina
224,Monemvasia
225,Montevideo
226,Moravia
227,Morocco
228,Moscatel de Setúbal
229,Moscatel do Douro
230,Mosel
231,Mosel-Saar-Ruwer
232,Moselle Luxembourgeoise
233,Mostar
234,Mount Athos
235,Murfatlar
236,Muscat of Kefallonian
237,Muscat of Patras
238,Muzla
239,Mátra
240,Nahe
241,Naoussa
242,Nashik
243,Negev
244,Negev Hills
245,Nelson
246,Nemea
247,Neuchâtel
248,Neusiedlersee
249,Nevada
250,New Jersey
251,New Mexico
252,New South Wales
253,New York
254,New Zealand
255,Niederösterreich
256,North Carolina
257,North Dalmatia
258,Northeastern Italy
259,Northern Cape
260,Northern Spain
261,Northwestern Italy
262,Obidos
263,Ohio
264,Olifants River
265,Ontario
266,Oregon
267,Other
268,Overberg
269,Paardeberg
270,Paarl
271,Pafos
272,Pageon
273,Palmela
274,Panciu
275,Pangeon
276,Patras
277,Peljesac
278,Peloponnese
279,Pennsylvania
280,Península de Setúbal
281,Peumo
282,Pfalz
283,Philadelphia
284,Piedmont
285,Pinto Bandeira
286,Pirque
287,Pitsilia Mountains
288,Pocerina
289,Podunavlje
290,Polkadraai Hills
291,Port
292,Portugal
293,Portuguese Table Wine
294,Primorska
295,Progreso
296,Provence
297,Puente Alto
298,Rapel Valley
299,Rapsani
300,Recas
301,Requinoa
302,Retsina
303,Rheingau
304,Rheinhessen
305,Rhode Island
306,Rhône Valley
307,Ribatejano
308,Ribatejo
309,Rio Claro
310,Robertson
311,Romania
312,Sagrada Familia
313,Samos
314,Samson
315,San Antonio
316,San Antonio de las Minas Valley
317,San Clemente
318,San Jose
319,San Vicente
320,Santa Catarina
321,Santa Cruz
322,Santorini
323,Sebes
324,Serra Gaúcha
325,Serra do Sudeste
326,Setubal
327,Shomron
328,Sicily & Sardinia
329,Simonsberg-Paarl
330,Simonsberg-Stellenbosch
331,Sithonia
332,Slovenia
333,Slovenska Istra
334,Sopron
335,South Africa
336,South Australia
337,South Island
338,Southern Italy
339,Southwest France
340,Spain Other
341,Spanish Islands
342,Steiermark
343,Stellenbosch
344,Sterea Ellada
345,Swartland
346,Switzerland
347,Szekszárd
348,Südburgenland
349,Südoststeiermark
350,Südsteiermark
351,Table wine
352,Tarnave
353,Tasmania
354,Tejo
355,Terras do Dão
356,Terras do Sado
357,Texas
358,Thermenregion
359,Thessalikos
360,Thrace
361,Thracian Valley
362,Thraki
363,Ticino
364,Tikves
365,Tokaj
366,Tokaji
367,Traisental
368,Trás-os-Montes
369,Tulbagh
370,Turkey
371,Tuscany
372,Távora-Varosa
373,Ukraine
374,Upper Galilee
375,Urla-Thrace
376,Uruguay
377,Valais
378,Vale Trentino
379,Vale dos Vinhedos
380,Valle de Guadalupe
381,Veneto
382,Vermont
383,Victoria
384,Vienna
385,Viile Timis
386,Viile Timisului
387,Villány
388,Vin de Pays de Velvendo
389,Vinho Espumante
390,Vinho Espumante de Qualidade
391,Vinho Licoroso
392,Vinho Verde
393,Vinho da Mesa
394,Vipavska Dolina
395,Virginia
396,Vlootenburg
397,Vânju Mare
398,Wachau
399,Wagram
400,Wagram-Donauland
401,Waiheke Island
402,Waipara
403,Waipara Valley
404,Wairarapa
405,Wairau Valley
406,Waitaki Valley
407,Walker Bay
408,Washington
409,Washington-Oregon
410,Weinland Österreich
411,Weinviertel
412,Wellington
413,Western Australia
414,Western Cape
415,Wiener Gemischter Satz
416,Württemberg
417,Zenata
418,Österreichischer Perlwein
419,Österreichischer Sekt
420,Štajerska
421,Župa
